seller_state,customer_state,orders,reviews,rating,low_rate,low_count,late_rate,late_count,deliveries,one_star,delivery_time,value,freight,merchandise,sellers,freight_burden,review_coverage,distance,lane
SC,SC,258,257,4.396887159533074,8.560311284046692,22.0,4.263565891472868,11.0,258,17.0,8.554342431093886,51275.01,5121.1,46153.91,84,11.095701317613177,99.6124031007752,146.16337185044384,SC → SC
RJ,SC,113,112,4.241071428571429,9.821428571428571,11.0,9.734513274336283,11.0,113,10.0,15.054331366764997,25233.88,3009.42,22224.46,44,13.541026418639643,99.11504424778761,806.8276056863011,RJ → SC
PR,AL,36,36,3.4722222222222223,33.33333333333333,12.0,30.555555555555557,11.0,36,10.0,29.24966210133745,14165.82,1722.95,12442.869999999999,19,13.846885806891821,100.0,2250.6792683832714,PR → AL
RJ,CE,54,54,3.6481481481481484,24.074074074074073,13.0,20.37037037037037,11.0,54,11.0,24.916870284636488,14192.52,1922.61,12269.91,26,15.669308087834386,100.0,2122.437423505879,RJ → CE
PR,CE,64,63,3.4603174603174605,28.57142857142857,18.0,14.0625,9.0,64,17.0,25.10149703414352,17806.86,3014.95,14791.91,35,20.382425258130965,98.4375,2624.263610261819,PR → CE
RJ,PE,92,92,4.195652173913044,13.043478260869565,12.0,9.782608695652174,9.0,92,10.0,16.896253019323673,26128.36,4022.1,22106.26,40,18.19439380519364,100.0,1818.6496803257444,RJ → PE
SC,BA,79,77,3.7142857142857144,22.07792207792208,17.0,11.39240506329114,9.0,79,11.0,20.734370604781997,22618.01,3706.82,18911.19,42,19.60119907842923,97.46835443037975,1904.9700227399487,SC → BA
PR,PE,86,85,4.047058823529412,16.470588235294116,14.0,10.465116279069768,9.0,86,10.0,19.412352767011196,26483.68,4325.29,22158.39,39,19.51987486455469,98.83720930232558,2434.611783225747,PR → PE
PR,ES,110,108,4.083333333333333,12.962962962962962,14.0,8.181818181818182,9.0,110,11.0,17.668207386363637,26498.31,3743.6,22754.71,52,16.451978513459412,98.18181818181819,1190.8911564956616,PR → ES
MG,PA,84,81,4.074074074074074,16.049382716049383,13.0,10.714285714285714,9.0,84,11.0,27.349281442901233,17039.21,4106.45,12932.76,44,31.752309638468507,96.42857142857143,2020.2149541481967,MG → PA
MG,CE,74,74,4.04054054054054,12.162162162162163,9.0,12.162162162162163,9.0,74,8.0,20.697651714214214,13041.42,3088.32,9953.1,40,31.028724718931787,100.0,1917.0447747490364,MG → CE
MG,MA,64,63,4.26984126984127,11.11111111111111,7.0,14.0625,9.0,64,5.0,19.65614818431713,12239.02,3289.85,8949.17,35,36.761509726600345,98.4375,1878.2189957978942,MG → MA
MG,PE,110,110,4.3545454545454545,10.909090909090908,12.0,7.2727272727272725,8.0,110,9.0,16.60922685185185,16360.34,4136.95,12223.39,58,33.844539035406704,100.0,1696.360041525484,MG → PE
ES,SP,100,99,4.181818181818182,10.1010101010101,10.0,8.0,8.0,100,8.0,12.09660162037037,19011.09,3424.82,15586.27,16,21.97331369211492,99.0,753.844349689992,ES → SP
MG,ES,175,169,4.1420118343195265,13.609467455621301,23.0,4.571428571428571,8.0,175,20.0,16.16283326719577,25621.32,5094.13,20527.19,59,24.816499481906686,96.57142857142857,520.3683825555966,MG → ES
RJ,DF,99,99,4.101010101010101,12.121212121212121,12.0,8.080808080808081,8.0,99,11.0,14.228011480546204,19614.07,1946.59,17667.48,42,11.017926721864125,100.0,919.5245521704895,RJ → DF
RS,SP,673,672,4.346726190476191,7.738095238095238,52.0,1.188707280832095,8.0,673,42.0,10.121310673600792,133525.19,17624.76,115900.43000000001,90,15.206811570932047,99.85141158989599,861.4586782600804,RS → SP
RS,RS,289,288,4.565972222222222,4.166666666666666,12.0,2.768166089965398,8.0,289,10.0,7.392456627258747,61062.28,5138.34,55923.94,69,9.188086533244975,99.65397923875433,145.74957197043702,RS → RS
SC,PR,287,286,4.356643356643357,8.391608391608392,24.0,2.4390243902439024,7.0,287,13.0,11.0588804200542,49960.45,7064.39,42896.06,84,16.468622059928116,99.65156794425087,330.2543953373941,SC → PR
DF,SP,308,308,4.1688311688311686,11.03896103896104,34.0,2.272727272727273,7.0,308,27.0,10.831229407166907,41932.16,6402.13,35530.03,29,18.018926524970567,100.0,822.3482915541957,DF → SP
PR,MA,42,42,3.761904761904762,26.190476190476193,11.0,16.666666666666664,7.0,42,8.0,22.218913690476192,10902.43,1822.91,9079.52,36,20.077162669392216,100.0,2494.3894560439094,PR → MA
DF,RJ,96,95,3.8842105263157896,22.105263157894736,21.0,7.291666666666667,7.0,96,14.0,13.983247130594135,13087.11,2092.0299999999997,10995.08,23,19.026964787886943,98.95833333333333,920.7435542876509,DF → RJ
RS,PR,141,140,4.328571428571428,8.571428571428571,12.0,4.964539007092199,7.0,141,8.0,10.33078293275545,21833.01,3086.58,18746.43,42,16.464894915992005,99.29078014184397,581.9628242094085,RS → PR
MG,PB,48,47,4.148936170212766,12.76595744680851,6.0,12.5,6.0,48,6.0,19.51257233796296,11354.59,2422.1,8932.49,35,27.115619496915194,97.91666666666667,1789.359667143035,MG → PB
MG,DF,189,188,4.2712765957446805,9.042553191489363,17.0,3.1746031746031744,6.0,189,10.0,11.851880511463845,36526.45,4792.5,31733.95,71,15.102122490266733,99.47089947089947,600.8125908672471,MG → DF
MG,AL,35,34,4.147058823529412,14.705882352941178,5.0,17.142857142857142,6.0,35,3.0,22.00103869047619,12112.29,1997.04,10115.25,26,19.742863498183436,97.14285714285714,1519.8212003652359,MG → AL
RJ,GO,109,108,4.222222222222222,10.185185185185185,11.0,5.5045871559633035,6.0,109,9.0,15.077521130648998,21766.77,2594.32,19172.45,38,13.531499625765095,99.08256880733946,957.4116352567348,RJ → GO
PR,PA,54,54,4.074074074074074,18.51851851851852,10.0,11.11111111111111,6.0,54,8.0,25.38463284465021,19853.91,3070.88,16783.03,38,18.297530302930998,100.0,2503.096860106872,PR → PA
RS,BA,42,41,4.073170731707317,14.634146341463413,6.0,14.285714285714285,6.0,42,6.0,20.967922453703704,12301.43,2498.58,9802.85,24,25.48830187139454,97.61904761904762,2194.9285041807793,RS → BA
BA,SP,138,138,4.195652173913044,10.144927536231885,14.0,3.6231884057971016,5.0,138,11.0,11.37671916935051,77821.95,5138.31,72683.64,12,7.069417547057358,100.0,1416.3601673182861,BA → SP
SP,RO,169,168,4.232142857142857,10.119047619047619,17.0,2.9585798816568047,5.0,169,11.0,19.382829278983124,34287.97,7908.18,26379.79,121,29.978176475248663,99.40828402366864,2198.4840663436435,SP → RO
SP,RR,33,33,3.757575757575758,18.181818181818183,6.0,15.151515151515152,5.0,33,5.0,31.619870230078565,7330.97,1553.3,5777.67,27,26.88453996161082,100.0,3253.767753926978,SP → RR
PR,PB,41,41,3.975609756097561,19.51219512195122,8.0,12.195121951219512,5.0,41,5.0,22.003200090334236,12139.25,1951.71,10187.54,29,19.157814349685985,100.0,2527.751811937278,PR → PB
ES,RJ,59,59,4.101694915254237,13.559322033898304,8.0,8.47457627118644,5.0,59,7.0,12.694503688010043,11556.24,1873.7,9682.54,12,19.351327234382712,100.0,395.84551771919007,ES → RJ
BA,BA,66,66,4.287878787878788,12.121212121212121,8.0,7.575757575757576,5.0,66,3.0,10.523251262626262,28985.6,1257.15,27728.45,10,4.533791106246473,100.0,220.6388317005239,BA → BA
MG,PR,367,366,4.297814207650274,8.743169398907105,32.0,1.08991825613079,4.0,367,25.0,12.737391607377132,57794.19,10420.48,47373.71,101,21.996335098095546,99.7275204359673,810.5537423823578,MG → PR
MG,MT,53,53,3.9056603773584904,16.9811320754717,9.0,7.547169811320755,4.0,53,7.0,20.990235193920334,13671.54,2412.27,11259.27,36,21.424746009288345,100.0,1285.455003008063,MG → MT
PR,GO,87,86,4.1976744186046515,12.790697674418606,11.0,4.597701149425287,4.0,87,7.0,15.942555209663686,20972.8,3348.31,17624.49,55,18.998053277002626,98.85057471264368,917.1306570063447,PR → GO
PR,DF,151,151,4.211920529801325,12.582781456953644,19.0,2.6490066225165565,4.0,151,17.0,13.396264793352955,32530.99,5017.24,27513.75,68,18.235391395211483,100.0,1041.8875439300177,PR → DF
MG,SE,36,35,4.285714285714286,14.285714285714285,5.0,11.11111111111111,4.0,36,3.0,25.338678305041153,6952.34,1747.84,5204.5,23,33.58324526851762,97.22222222222223,1362.0348485991601,MG → SE
MG,GO,151,150,4.153333333333333,12.666666666666668,19.0,2.6490066225165565,4.0,151,15.0,14.130655276551385,24093.77,4908.57,19185.2,65,25.58519066780643,99.33774834437087,635.9224541450792,MG → GO
BA,RJ,83,82,4.146341463414634,12.195121951219512,10.0,4.819277108433735,4.0,83,8.0,13.392205070281126,38495.86,2935.87,35559.99,9,8.25610468394395,98.79518072289157,1129.5823097566595,BA → RJ
MA,MG,31,31,4.258064516129032,9.67741935483871,3.0,12.903225806451612,4.0,31,3.0,17.486995594384705,4165.11,1093.43,3071.68,1,35.59713251380352,100.0,1926.0061977322118,MA → MG
GO,RJ,56,55,4.363636363636363,10.909090909090908,6.0,5.357142857142857,3.0,56,6.0,14.6728337880291,7102.66,1492.74,5609.92,17,26.60893559979465,98.21428571428571,936.5586488767564,GO → RJ
PR,MT,62,61,3.9344262295081966,19.672131147540984,12.0,4.838709677419355,3.0,62,9.0,17.818690449522105,18254.77,2495.06,15759.71,47,15.831890307626221,98.38709677419355,1249.9445710347497,PR → MT
MG,MS,63,63,4.174603174603175,12.698412698412698,8.0,4.761904761904762,3.0,63,7.0,16.00688234861846,12908.69,1949.68,10959.01,40,17.79065809776613,100.0,913.6797406002187,MG → MS
SC,GO,56,55,4.236363636363636,7.2727272727272725,4.0,5.357142857142857,3.0,56,4.0,17.716603835978837,19402.53,2745.62,16656.91,35,16.483369364425933,98.21428571428571,1175.1413552426136,SC → GO
PE,RJ,42,41,3.975609756097561,14.634146341463413,6.0,7.142857142857142,3.0,42,5.0,14.22342647707231,11164.39,1375.71,9788.68,4,14.054091052113257,97.61904761904762,1815.1126069195973,PE → RJ
RS,MG,188,187,4.438502673796791,5.88235294117647,11.0,1.5957446808510638,3.0,188,8.0,11.766388211682425,49337.36,6360.16,42977.2,56,14.79891663486686,99.46808510638297,1294.5149617239815,RS → MG
RJ,MS,33,33,4.212121212121212,12.121212121212121,4.0,9.090909090909092,3.0,33,4.0,17.022974186307522,8216.41,1037.93,7178.48,20,14.458910521447438,100.0,1185.1816039371104,RJ → MS
SP,AM,99,99,4.222222222222222,14.14141414141414,14.0,3.0303030303030303,3.0,99,7.0,25.847125888514775,16380.26,3370.09,13010.17,74,25.903504719769227,100.0,2633.9310809960934,SP → AM
DF,BA,35,35,3.942857142857143,17.142857142857142,6.0,5.714285714285714,2.0,35,5.0,18.210127976190478,6229.11,957.03,5272.08,11,18.15279737788501,100.0,1011.6701910970369,DF → BA
RJ,ES,100,100,4.35,7.000000000000001,7.0,2.0,2.0,100,5.0,12.563596990740741,18122.71,2061.35,16061.36,43,12.834218272923337,100.0,402.4003859604813,RJ → ES
RJ,PA,38,38,4.368421052631579,10.526315789473683,4.0,5.263157894736842,2.0,38,3.0,21.2909469420078,9556.41,1607.32,7949.09,19,20.22017614594878,100.0,2310.999928635807,RJ → PA
SC,ES,52,51,4.098039215686274,11.76470588235294,6.0,3.8461538461538463,2.0,52,5.0,14.750095040954417,10507.28,1758.9,8748.38,29,20.10543666370231,98.07692307692308,1185.7753996997017,SC → ES
SC,PE,38,38,3.9473684210526314,15.789473684210526,6.0,5.263157894736842,2.0,38,3.0,19.658597100389866,11083.24,1994.24,9089.0,24,21.941247662009022,100.0,2562.644059205312,SC → PE
MA,RJ,41,40,4.375,7.5,3.0,4.878048780487805,2.0,41,3.0,16.698441734417347,4649.01,1249.43,3399.58,1,36.75248118885274,97.5609756097561,2263.5293643725913,MA → RJ
GO,SP,126,126,4.349206349206349,7.936507936507936,10.0,1.5873015873015872,2.0,126,7.0,10.841812353027631,24944.41,3595.71,21348.7,28,16.842758575463613,100.0,764.0777239700859,GO → SP
PR,MS,55,54,4.314814814814815,9.25925925925926,5.0,3.6363636363636362,2.0,55,5.0,13.073301136363638,13125.36,1551.38,11573.98,42,13.4040321479733,98.18181818181819,623.643525358915,PR → MS
PE,SP,104,104,4.365384615384615,9.615384615384617,10.0,1.9230769230769231,2.0,104,8.0,11.891561720975783,26411.66,3258.44,23153.22,6,14.073377266747347,100.0,2098.2670334071363,PE → SP
BA,PE,32,32,4.5,3.125,1.0,6.25,2.0,32,1.0,16.894608289930556,14088.15,914.05,13174.1,7,6.938234869934188,100.0,671.4591977719915,BA → PE
DF,DF,50,50,4.24,12.0,6.0,4.0,2.0,50,5.0,5.1269078703703705,4976.2,549.65,4426.55,15,12.417119427093333,100.0,16.04151262949777,DF → DF
SP,AP,49,48,4.229166666666667,6.25,3.0,4.081632653061225,2.0,49,2.0,28.09644321617536,9939.95,1959.56,7980.39,45,24.554689683085662,97.95918367346938,2615.462707087287,SP → AP
SP,AC,57,57,4.017543859649122,15.789473684210526,9.0,3.508771929824561,2.0,57,5.0,20.76776884340481,12970.6,2581.2400000000002,10389.36,50,24.845033765313744,100.0,2657.6902313389674,SP → AC
DF,MG,103,103,3.970873786407767,16.50485436893204,17.0,0.9708737864077669,1.0,103,15.0,9.337788115785688,14373.02,2022.67,12350.35,18,16.37743059913282,100.0,602.1276177177787,DF → MG
MT,SP,32,32,4.0625,6.25,2.0,3.125,1.0,32,1.0,12.866605541087964,5408.18,1203.96,4204.22,4,28.636940978350324,100.0,1370.2668616837568,MT → SP
RS,DF,48,47,4.276595744680851,8.51063829787234,4.0,2.083333333333333,1.0,48,2.0,13.512816840277779,11155.99,1512.49,9643.5,28,15.684035879089542,97.91666666666667,1568.6217040666786,RS → DF
SC,MS,31,31,4.516129032258065,3.225806451612903,1.0,3.225806451612903,1.0,31,1.0,14.970023148148147,8764.210000000001,1012.55,7751.66,19,13.06236341635211,100.0,913.8322239029012,SC → MS
MG,PI,32,32,4.21875,15.625,5.0,3.125,1.0,32,3.0,16.00305447048611,5421.63,1355.61,4066.02,26,33.33997373352812,100.0,1699.0840955519204,MG → PI
GO,MG,83,83,4.421686746987952,8.433734939759036,7.0,0.0,0.0,83,6.0,10.437390813253012,15383.58,1965.41,13418.17,22,14.647377399451639,100.0,638.4606882888116,GO → MG
MG,RN,30,30,4.1,13.333333333333334,4.0,0.0,0.0,30,4.0,15.769064043209877,5955.66,1321.5,4634.16,22,28.516494898751876,100.0,1866.4640800121715,MG → RN
PE,MG,62,62,4.112903225806452,14.516129032258066,9.0,0.0,0.0,62,7.0,11.721445265830347,12619.31,2033.42,10585.890000000001,3,19.208776966320258,100.0,1669.4342226104266,PE → MG
GO,GO,31,31,4.516129032258065,6.451612903225806,2.0,0.0,0.0,31,2.0,5.169021430704898,3851.13,462.12,3389.0099999999998,16,13.635840555206387,100.0,106.55001370254914,GO → GO
BA,MG,51,51,4.215686274509804,11.76470588235294,6.0,0.0,0.0,51,4.0,10.560948393246186,31460.04,1851.58,29608.46,7,6.253550505497415,100.0,959.8332274059353,BA → MG
ES,MG,44,42,4.119047619047619,16.666666666666664,7.0,0.0,0.0,44,4.0,10.594149831649831,6287.68,1591.35,4696.33,7,33.88496975297733,95.45454545454545,441.96039383425466,ES → MG
DF,GO,30,30,4.4,6.666666666666667,2.0,0.0,0.0,30,1.0,9.194003472222223,3740.91,580.18,3160.73,13,18.3558861402271,100.0,180.67916578750882,DF → GO
SC,DF,69,69,4.478260869565218,5.797101449275362,4.0,0.0,0.0,69,2.0,13.261973295759528,12290.34,2329.13,9961.210000000001,35,23.381998773241403,100.0,1260.062159033247,SC → DF
RS,SC,117,117,4.538461538461538,4.273504273504273,5.0,0.0,0.0,117,5.0,9.335189933523267,22692.02,2642.22,20049.8,39,13.178286067691447,100.0,352.96772356762466,RS → SC
