category,orders,reviews,rating,low_rate,low_count,late_rate,late_count,deliveries,one_star,delivery_time,value,freight,merchandise,sellers,freight_burden,review_coverage,distance,priority
Furniture Bedroom,90,90,4.2555555555555555,12.222222222222221,11.0,6.666666666666667,6.0,90,9.0,13.661718235596709,23379.22,4327.42,19051.8,22,22.71396928374222,100.0,601.0787619774054,Explore growth
Books Technical,256,255,4.427450980392157,9.411764705882353,24.0,8.203125,21.0,256,17.0,10.634350992838542,22901.07,4198.84,18702.23,25,22.451012526313708,99.609375,547.7692943330003,Explore growth
Food Drink,221,221,4.4434389140271495,4.072398190045249,9.0,3.619909502262444,8.0,221,6.0,10.818936861069215,19337.77,4394.89,14942.88,32,29.411264762883732,100.0,560.0613195027242,Explore growth
Costruction Tools Tools,97,94,4.425531914893617,8.51063829787234,8.0,6.185567010309279,6.0,97,8.0,12.209838082283314,17934.170000000002,2030.22,15903.95,24,12.76550793985142,96.90721649484536,608.6876265434721,Explore growth
Fashion Male Clothing,106,105,3.8190476190476192,22.857142857142858,24.0,4.716981132075472,5.0,106,21.0,12.859536927847659,12514.95,2062.62,10452.33,12,19.73359050087397,99.05660377358491,589.3777368975627,Investigate
Christmas Supplies,125,123,4.1138211382113825,11.38211382113821,14.0,8.0,10.0,125,12.0,15.374882037037038,11928.75,3190.91,8737.84,16,36.518292850406965,98.4,690.0657460963563,Explore growth
Fashion Underwear Beach,117,116,4.008620689655173,16.379310344827587,19.0,9.401709401709402,11.0,117,12.0,14.00258270022159,11160.02,1854.07,9305.95,9,19.923489810282664,99.14529914529915,554.9232609273739,Investigate
Tablets Printing Image,79,77,4.1558441558441555,12.987012987012985,10.0,5.063291139240507,4.0,79,4.0,12.82902587318331,8754.61,1226.2,7528.41,6,16.28763576904021,97.46835443037975,708.1167895088167,Investigate
Cine Photo,63,63,4.333333333333333,11.11111111111111,7.0,6.349206349206349,4.0,63,5.0,10.469129188712522,7902.18,1227.71,6674.47,13,18.394119682911153,100.0,584.5546220262186,Explore growth
Music,38,38,4.2105263157894735,10.526315789473683,4.0,5.263157894736842,2.0,38,4.0,11.655654239766083,6724.860000000001,690.51,6034.35,19,11.44298888861269,100.0,561.5070988089811,Explore growth
Furniture Mattress And Upholstery,37,37,3.891891891891892,18.91891891891892,7.0,13.513513513513514,5.0,37,6.0,14.432969532032033,5904.75,1581.37,4323.38,5,36.57716878923434,100.0,266.43085899680386,Investigate
Dvds Blu Ray,56,56,4.196428571428571,14.285714285714285,8.0,7.142857142857142,4.0,56,7.0,12.97692791005291,5769.84,1227.25,4542.59,10,27.016525814568336,100.0,793.8106526385154,Investigate
Party Supplies,38,38,4.078947368421052,15.789473684210526,6.0,0.0,0.0,38,4.0,8.999704556530213,5285.38,820.19,4465.1900000000005,11,18.36853526949581,100.0,541.8893669292092,Investigate
Books Imported,50,50,4.44,10.0,5.0,4.0,2.0,50,4.0,8.178885185185186,5150.94,732.08,4418.86,6,16.567168907817855,100.0,320.46616257438643,Explore growth
Fashio Female Clothing,36,36,3.9166666666666665,16.666666666666664,6.0,5.555555555555555,2.0,36,3.0,13.001078317901236,3218.44,583.5,2634.94,10,22.144716767744235,100.0,456.86517049495404,Investigate
