category,customer_state,orders,reviews,rating,low_rate,low_count,late_rate,late_count,deliveries,one_star,delivery_time,value,freight,merchandise,sellers,freight_burden,review_coverage,distance,local_sellers,orders_per_local_seller,demand_pressure,no_local_supply
Sports Leisure,CE,87,86,4.058139534883721,12.790697674418606,11.0,14.942528735632186,13.0,87,9.0,20.750367310557685,13294.35,2933.63,10360.72,61,28.314924059331787,98.85057471264368,2275.195061933687,0,,87.0,No observed local supply
Bed Bath Table,PE,80,78,3.858974358974359,21.794871794871796,17.0,8.75,7.0,80,13.0,20.581451533564813,12308.11,3164.4900000000002,9143.62,36,34.608721709782344,97.5,2033.684313971747,0,,80.0,No observed local supply
Computers Accessories,PA,80,80,4.0875,13.750000000000002,11.0,7.5,6.0,80,7.0,24.00615726273148,14259.1,2867.69,11391.41,48,25.17414437721055,100.0,2265.8497675241942,0,,80.0,No observed local supply
Perfumery,BA,80,80,4.2,11.25,9.0,8.75,7.0,80,7.0,18.657933015046297,11471.81,1748.8,9723.01,28,17.98619974678623,100.0,1318.7249415597355,0,,80.0,No observed local supply
Computers Accessories,CE,79,79,3.9873417721518987,16.455696202531644,13.0,16.455696202531644,13.0,79,13.0,22.50830329934365,14074.880000000001,2522.91,11551.97,43,21.839651591892984,100.0,1940.952276628752,0,,79.0,No observed local supply
Health Beauty,PB,75,75,4.093333333333334,14.666666666666666,11.0,12.0,9.0,75,8.0,19.93978101851852,18809.85,3117.77,15692.08,38,19.868430443892716,100.0,2119.187089951918,0,,75.0,No observed local supply
Stationery,BA,74,74,3.9864864864864864,16.216216216216218,12.0,17.56756756756757,13.0,74,9.0,21.212715528028028,8825.18,1629.03,7196.15,39,22.63752145244332,100.0,1327.0214174416433,0,,74.0,No observed local supply
Watches Gifts,PA,71,70,4.2,12.857142857142856,9.0,9.859154929577464,7.0,71,5.0,21.95292840375587,23847.59,2211.77,21635.82,19,10.222723243214263,98.59154929577464,2317.1285347782346,0,,71.0,No observed local supply
Telephony,PA,70,69,3.463768115942029,27.536231884057973,19.0,14.285714285714285,10.0,70,17.0,24.33907093253968,10066.39,2028.98,8037.41,27,25.24420180132655,98.57142857142857,2332.8724547569072,0,,70.0,No observed local supply
Sports Leisure,MT,67,67,4.134328358208955,16.417910447761194,11.0,8.955223880597014,6.0,67,7.0,18.647933595909343,9452.97,1781.94,7671.03,44,23.229475050938404,100.0,1279.6435130421987,0,,67.0,No observed local supply
Health Beauty,AL,62,62,3.7419354838709675,27.419354838709676,17.0,30.64516129032258,19.0,62,11.0,26.63793776135006,14741.33,2060.07,12681.26,37,16.244994582557254,100.0,1897.123042104736,0,,62.0,No observed local supply
Baby,ES,61,61,3.901639344262295,16.39344262295082,10.0,9.836065573770492,6.0,61,10.0,16.39647901487553,9864.14,1518.09,8346.05,40,18.189323092960144,100.0,823.9424467026453,0,,61.0,No observed local supply
Office Furniture,BA,61,61,3.7049180327868854,18.0327868852459,11.0,9.836065573770492,6.0,61,7.0,27.058082119004247,18789.38,4563.55,14225.83,8,32.07932331540585,100.0,1390.4349197000372,0,,61.0,No observed local supply
Toys,CE,61,61,4.163934426229508,13.114754098360656,8.0,11.475409836065573,7.0,61,6.0,19.520530510018215,9821.58,2028.27,7793.31,34,26.025783652902295,100.0,2256.4474058204337,0,,61.0,No observed local supply
Sports Leisure,MS,60,60,4.233333333333333,13.333333333333334,8.0,8.333333333333332,5.0,60,8.0,15.689723765432099,10704.91,1607.72,9097.19,44,17.672709924713015,100.0,816.9466816301535,0,,60.0,No observed local supply
Computers Accessories,MA,59,59,3.7288135593220337,22.033898305084744,13.0,15.254237288135593,9.0,59,10.0,21.6177565913371,14479.93,2327.1,12152.83,38,19.148626287045897,100.0,2057.807220770578,0,,59.0,No observed local supply
Telephony,MA,59,59,3.7288135593220337,18.64406779661017,11.0,13.559322033898304,8.0,59,8.0,19.548218573446327,6726.0,1748.97,4977.03,22,35.1408370052019,100.0,2083.2852678478803,0,,59.0,No observed local supply
Watches Gifts,MT,59,59,4.1525423728813555,11.864406779661017,7.0,5.084745762711865,3.0,59,4.0,16.05506905210295,16398.48,1391.57,15006.91,17,9.272861635073443,100.0,1375.4963595529223,0,,59.0,No observed local supply
Sports Leisure,MA,58,57,3.7719298245614037,22.807017543859647,13.0,20.689655172413794,12.0,58,8.0,21.096290110153255,10880.24,2451.37,8428.87,41,29.083020618422157,98.27586206896552,2181.1570043086567,0,,58.0,No observed local supply
Telephony,MT,58,58,3.7758620689655173,17.24137931034483,10.0,6.896551724137931,4.0,58,7.0,16.64081397669221,4326.35,1201.6,3124.75,15,38.45427634210736,100.0,1448.3011554133868,0,,58.0,No observed local supply
Bed Bath Table,MS,57,57,4.298245614035087,8.771929824561402,5.0,10.526315789473683,6.0,57,3.0,16.056431124106563,7019.0,1272.29,5746.71,25,22.13945022456327,100.0,728.0292793366548,0,,57.0,No observed local supply
Garden Tools,PE,57,57,4.12280701754386,14.035087719298245,8.0,5.263157894736842,3.0,57,5.0,17.997549545159192,8920.6,2156.07,6764.53,23,31.873167832798437,100.0,2012.9914515368882,0,,57.0,No observed local supply
Bed Bath Table,MT,56,55,4.381818181818182,5.454545454545454,3.0,1.7857142857142856,1.0,56,1.0,17.209546337632275,8786.53,1660.95,7125.58,29,23.309681457509424,98.21428571428571,1277.0067025990134,0,,56.0,No observed local supply
Home Confort,RJ,56,55,4.054545454545455,14.545454545454545,8.0,16.071428571428573,9.0,56,6.0,15.6842400380291,9226.53,1271.66,7954.87,10,15.985930631173106,98.21428571428571,537.0342408654993,0,,56.0,No observed local supply
Watches Gifts,MA,56,55,4.127272727272727,10.909090909090908,6.0,17.857142857142858,10.0,56,4.0,23.712789351851853,11663.19,1950.2,9712.99,17,20.078266321699086,98.21428571428571,2142.237999147419,0,,56.0,No observed local supply
Office Furniture,RS,55,55,3.963636363636364,9.090909090909092,5.0,5.454545454545454,3.0,55,2.0,25.125873526936026,12941.5,2714.92,10226.58,9,26.54768260747973,100.0,932.4338869977215,0,,55.0,No observed local supply
Audio,RJ,54,53,3.5660377358490565,28.30188679245283,15.0,20.37037037037037,11.0,54,14.0,16.997585519547325,10331.91,971.56,9360.35,14,10.379526406598043,98.14814814814815,470.3986039097936,0,,54.0,No observed local supply
Computers Accessories,MS,54,54,4.333333333333333,11.11111111111111,6.0,5.555555555555555,3.0,54,5.0,13.346586505486968,11091.59,1352.79,9738.8,34,13.890725756766747,100.0,861.7717291600815,0,,54.0,No observed local supply
Furniture Decor,MT,54,51,3.784313725490196,23.52941176470588,12.0,5.555555555555555,3.0,54,10.0,18.48164651920439,8598.5,2029.56,6568.94,32,30.89630899353625,94.44444444444444,1307.6000822243677,0,,54.0,No observed local supply
Furniture Decor,PA,52,52,3.7115384615384617,19.230769230769234,10.0,9.615384615384617,5.0,52,8.0,23.981027866809118,11694.48,2826.42,8868.06,35,31.871908850413732,100.0,2350.252736844229,0,,52.0,No observed local supply
Perfumery,CE,52,52,4.0576923076923075,15.384615384615385,8.0,15.384615384615385,8.0,52,6.0,21.16444355413105,9677.96,1375.12,8302.84,16,16.56204383078561,100.0,2229.1619107794877,0,,52.0,No observed local supply
Health Beauty,PI,50,50,3.82,20.0,10.0,16.0,8.0,50,9.0,18.989990972222223,12268.93,2063.73,10205.199999999999,31,20.222337631795558,100.0,1854.8625255299971,0,,50.0,No observed local supply
Auto,MT,49,49,4.428571428571429,6.122448979591836,3.0,6.122448979591836,3.0,49,3.0,17.46895455404384,11719.39,1631.97,10087.42,32,16.17826956744143,100.0,1340.371776796979,0,,49.0,No observed local supply
Cool Stuff,PA,46,44,3.977272727272727,18.181818181818183,8.0,15.217391304347828,7.0,46,4.0,22.446300322061195,7898.5599999999995,1444.56,6454.0,22,22.382398512550356,95.65217391304348,2361.166607479138,0,,46.0,No observed local supply
Stationery,PE,46,46,4.282608695652174,8.695652173913043,4.0,4.3478260869565215,2.0,46,2.0,19.311930857487923,6038.06,1566.37,4471.6900000000005,23,35.02859098014397,100.0,1983.7355240064242,0,,46.0,No observed local supply
Watches Gifts,RN,46,45,4.111111111111111,11.11111111111111,5.0,10.869565217391305,5.0,46,4.0,18.293380132850242,11624.73,1572.31,10052.42,15,15.641109305023068,97.82608695652173,2268.3578598584677,0,,46.0,No observed local supply
Computers Accessories,MT,45,44,4.090909090909091,13.636363636363635,6.0,2.2222222222222223,1.0,45,3.0,18.038038323045267,10525.89,1652.74,8873.15,32,18.626305201647668,97.77777777777777,1374.999182292975,0,,45.0,No observed local supply
Furniture Decor,MS,45,44,4.181818181818182,15.909090909090908,7.0,6.666666666666667,3.0,45,6.0,14.113943930041152,7170.55,1350.89,5819.66,27,23.2125244430087,97.77777777777777,828.7055386358568,0,,45.0,No observed local supply
Garden Tools,CE,45,45,3.8666666666666667,20.0,9.0,15.555555555555555,7.0,45,7.0,21.794231481481482,7814.7300000000005,1833.8899999999999,5980.84,16,30.662749714086985,100.0,2284.8406137265115,0,,45.0,No observed local supply
Perfumery,PE,45,44,4.113636363636363,18.181818181818183,8.0,13.333333333333334,6.0,45,8.0,18.659072273662552,7899.4400000000005,1390.41,6509.03,24,21.361247374800858,97.77777777777777,1933.0034520629777,0,,45.0,No observed local supply
Auto,PA,44,44,3.5,25.0,11.0,18.181818181818183,8.0,44,9.0,27.25387126473064,9533.630000000001,1962.06,7571.570000000001,35,25.913515955079326,100.0,2238.0435233501403,0,,44.0,No observed local supply
Home Appliances,RS,44,44,4.681818181818182,2.272727272727273,1.0,0.0,0.0,44,1.0,12.864834017255891,7133.43,992.05,6141.38,12,16.153535524588936,100.0,888.9727015758199,0,,44.0,No observed local supply
Unknown,BA,44,43,3.627906976744186,20.930232558139537,9.0,13.636363636363635,6.0,44,8.0,18.67339830597643,7500.8,1576.85,5923.95,31,26.618219262485333,97.72727272727273,1361.428337625909,0,,44.0,No observed local supply
Fashion Bags Accessories,ES,43,43,4.116279069767442,11.627906976744185,5.0,6.976744186046512,3.0,43,5.0,13.32945467269595,4287.37,822.23,3465.14,22,23.728622797347295,100.0,818.8286838080918,0,,43.0,No observed local supply
Baby,PA,42,42,3.7142857142857144,23.809523809523807,10.0,11.904761904761903,5.0,42,8.0,23.75105324074074,11535.42,1652.67,9882.75,25,16.722774531380434,100.0,2257.436169688362,0,,42.0,No observed local supply
Baby,PE,41,40,4.175,12.5,5.0,17.073170731707318,7.0,41,5.0,19.91965785907859,6363.91,1424.5,4939.41,26,28.83947677961538,97.5609756097561,2080.406661227491,0,,41.0,No observed local supply
Fashion Shoes,MG,41,40,4.15,10.0,4.0,4.878048780487805,2.0,41,2.0,15.473126976061428,4072.78,768.5,3304.28,5,23.257714237292237,97.5609756097561,695.2889479585367,0,,41.0,No observed local supply
Computers Accessories,PB,40,39,4.384615384615385,5.128205128205128,2.0,10.0,4.0,40,1.0,19.393342592592592,8823.91,1628.83,7195.08,22,22.638108262868514,97.5,1705.9553577548218,0,,40.0,No observed local supply
Drinks,RJ,40,40,4.15,12.5,5.0,2.5,1.0,40,5.0,13.930368923611109,6524.99,1000.17,5524.82,11,18.103214222363807,100.0,394.2378653967065,0,,40.0,No observed local supply
Electronics,CE,40,40,3.8,22.5,9.0,15.0,6.0,40,6.0,20.827299189814816,4932.4400000000005,1239.44,3693.0,19,33.561873815326294,100.0,2239.122139462059,0,,40.0,No observed local supply
Housewares,MT,40,40,4.275,10.0,4.0,5.0,2.0,40,4.0,16.490448784722222,4984.89,1344.3899999999999,3640.5,37,36.92871858261228,100.0,1313.72220776911,0,,40.0,No observed local supply
Toys,MT,39,39,4.0256410256410255,20.51282051282051,8.0,10.256410256410255,4.0,39,8.0,18.334645655270656,7237.88,1380.72,5857.16,31,23.573199297953277,100.0,1364.1172086870306,0,,39.0,No observed local supply
Auto,MA,38,38,3.8947368421052633,21.052631578947366,8.0,15.789473684210526,6.0,38,8.0,23.418412219785573,7017.71,1726.55,5291.16,26,32.630840874212836,100.0,2163.0728296120396,0,,38.0,No observed local supply
Furniture Decor,MA,38,37,3.972972972972973,13.513513513513514,5.0,21.052631578947366,8.0,38,4.0,21.89814053362573,6128.71,1683.34,4445.37,23,37.86726414224238,97.36842105263158,2192.2223663609275,0,,38.0,No observed local supply
Health Beauty,SE,38,38,4.131578947368421,13.157894736842104,5.0,21.052631578947366,8.0,38,4.0,22.72605049951267,9639.74,1243.07,8396.67,18,14.804321236871282,100.0,1705.8945170283703,0,,38.0,No observed local supply
Watches Gifts,PI,38,38,3.9210526315789473,15.789473684210526,6.0,15.789473684210526,6.0,38,5.0,21.696164108187133,9043.54,1307.36,7736.18,16,16.899296552045065,100.0,2039.340107064982,0,,38.0,No observed local supply
Home Appliances,BA,36,36,3.5555555555555554,16.666666666666664,6.0,2.7777777777777777,1.0,36,6.0,16.11522890946502,3349.58,760.69,2588.89,8,29.382862925809906,100.0,1427.6356859885755,0,,36.0,No observed local supply
Computers Accessories,PI,35,34,4.294117647058823,8.823529411764707,3.0,11.428571428571429,4.0,35,2.0,18.1468253968254,6171.03,1193.01,4978.0199999999995,25,23.965552569093738,97.14285714285714,1673.4592166623017,0,,35.0,No observed local supply
Garden Tools,MT,35,35,3.942857142857143,20.0,7.0,2.857142857142857,1.0,35,4.0,20.36536011904762,9171.68,1323.1,7848.58,17,16.857826511292487,100.0,1278.418582570758,0,,35.0,No observed local supply
Bed Bath Table,PA,34,34,3.5588235294117645,26.47058823529412,9.0,8.823529411764707,3.0,34,9.0,25.259311683006533,4597.84,1091.3,3506.54,21,31.121846606626473,100.0,2185.756748103183,0,,34.0,No observed local supply
Electronics,PE,34,32,4.28125,6.25,2.0,11.76470588235294,4.0,34,2.0,19.242428172657952,2770.14,875.4,1894.74,18,46.20158966401722,94.11764705882354,2044.8883063314315,0,,34.0,No observed local supply
Housewares,MS,34,34,4.176470588235294,8.823529411764707,3.0,8.823529411764707,3.0,34,3.0,15.64394778050109,12140.59,1278.85,10861.74,27,11.773896263397946,100.0,822.8544204011421,0,,34.0,No observed local supply
Pet Shop,DF,34,34,4.470588235294118,5.88235294117647,2.0,0.0,0.0,34,2.0,10.789026756535948,5882.4,964.69,4917.71,23,19.616650839516765,100.0,836.3619000762407,0,,34.0,No observed local supply
Watches Gifts,AL,34,34,4.235294117647059,14.705882352941178,5.0,17.647058823529413,6.0,34,4.0,22.573819784858387,12650.16,1045.14,11605.02,12,9.005930192278859,100.0,1846.772456339481,0,,34.0,No observed local supply
Cool Stuff,MA,33,33,3.484848484848485,33.33333333333333,11.0,24.242424242424242,8.0,33,10.0,22.02492459315376,8564.14,1403.74,7160.4,14,19.60421205519245,100.0,2252.218201600063,0,,33.0,No observed local supply
Perfumery,PA,33,33,4.545454545454546,6.0606060606060606,2.0,0.0,0.0,33,2.0,19.978878717732883,5443.59,963.31,4480.28,15,21.50111153767175,100.0,2239.5592352283356,0,,33.0,No observed local supply
Telephony,PI,33,33,4.0606060606060606,9.090909090909092,3.0,12.121212121212121,4.0,33,1.0,18.429538439955106,3805.18,1018.46,2786.72,15,36.54690819314463,100.0,1904.3015211540626,0,,33.0,No observed local supply
Bed Bath Table,MA,32,32,3.78125,25.0,8.0,15.625,5.0,32,7.0,22.6237109375,5354.74,1390.11,3964.63,19,35.0627927448463,100.0,2120.69684761213,0,,32.0,No observed local supply
Computers Accessories,AL,32,32,4.03125,15.625,5.0,15.625,5.0,32,5.0,21.32969292534722,8849.85,1244.24,7605.61,20,16.35950305103733,100.0,1304.2496269057021,0,,32.0,No observed local supply
Electronics,GO,32,32,4.0625,15.625,5.0,6.25,2.0,32,3.0,15.062787181712963,1432.53,577.78,854.75,9,67.59637320854051,100.0,750.617487454467,0,,32.0,No observed local supply
Consoles Games,BA,31,30,4.033333333333333,13.333333333333334,4.0,19.35483870967742,6.0,31,2.0,20.031388515531663,4554.49,706.17,3848.32,15,18.350085231997337,96.7741935483871,1460.2131373938041,0,,31.0,No observed local supply
Fashion Bags Accessories,PE,31,31,4.290322580645161,9.67741935483871,3.0,6.451612903225806,2.0,31,1.0,15.926186902628436,3025.15,856.12,2169.0299999999997,20,39.4701779136296,100.0,1962.6428659364537,0,,31.0,No observed local supply
Furniture Decor,PB,31,31,4.161290322580645,12.903225806451612,4.0,12.903225806451612,4.0,31,3.0,21.90603793309438,6261.62,1819.91,4441.71,22,40.97318375130299,100.0,2158.7356748604543,0,,31.0,No observed local supply
Musical Instruments,BA,31,31,4.0,19.35483870967742,6.0,12.903225806451612,4.0,31,1.0,18.73775014934289,11112.970000000001,1482.57,9630.4,14,15.39468765575677,100.0,1404.7349751257195,0,,31.0,No observed local supply
Sports Leisure,AL,31,31,4.064516129032258,16.129032258064516,5.0,12.903225806451612,4.0,31,3.0,21.876321311230587,4764.42,1066.64,3697.78,24,28.8454153573225,100.0,1781.2831770098392,0,,31.0,No observed local supply
Housewares,PA,30,30,4.4,6.666666666666667,2.0,3.3333333333333335,1.0,30,2.0,21.898039351851853,6137.86,1542.65,4595.21,24,33.57082701334651,100.0,2218.304415279898,0,,30.0,No observed local supply
Luggage Accessories,BA,30,30,4.133333333333334,13.333333333333334,4.0,13.333333333333334,4.0,30,3.0,19.41421836419753,4131.37,1046.44,3084.93,13,33.92102900227882,100.0,1312.408527879435,0,,30.0,No observed local supply
Sports Leisure,PI,30,30,4.433333333333334,10.0,3.0,13.333333333333334,4.0,30,3.0,18.242269290123456,6757.74,1231.95,5525.79,25,22.294549738589414,100.0,2025.513180190383,0,,30.0,No observed local supply
Stationery,CE,30,29,3.8275862068965516,24.137931034482758,7.0,13.333333333333334,4.0,30,5.0,23.928791666666665,4208.29,1173.86,3034.43,15,38.68469531345261,96.66666666666667,2216.2153731520893,0,,30.0,No observed local supply
Watches Gifts,RS,224,221,4.122171945701357,14.93212669683258,33.0,7.142857142857142,16.0,224,25.0,15.295213500330687,51786.83,3949.1,47837.73,33,8.25519940013876,98.66071428571429,903.3934360332748,1,224.0,112.0,Observed local supply
Health Beauty,PE,220,217,4.129032258064516,13.36405529953917,29.0,13.18181818181818,29.0,220,24.0,17.81253388047138,48797.5,8112.49,40685.01,84,19.939751766068138,98.63636363636364,1922.998747899477,1,220.0,110.0,Observed local supply
Office Furniture,RJ,212,212,3.438679245283019,30.18867924528302,64.0,10.849056603773585,23.0,212,52.0,23.62158783193571,57683.11,12470.789999999999,45212.32,16,27.582725239492245,100.0,341.70810753373183,1,212.0,106.0,Observed local supply
Furniture Decor,BA,197,195,3.9025641025641025,18.974358974358974,37.0,15.736040609137056,31.0,197,29.0,20.849692728896407,30289.24,7168.07,23121.170000000002,77,31.002194093118984,98.98477157360406,1422.5972351161263,1,197.0,98.5,Observed local supply
Bed Bath Table,GO,189,186,3.693548387096774,21.50537634408602,40.0,13.227513227513226,25.0,189,28.0,17.630263325494806,27089.39,4803.78,22285.61,55,21.555523945721024,98.41269841269842,681.6403950642632,1,189.0,94.5,Observed local supply
Health Beauty,ES,151,150,4.053333333333334,14.666666666666666,22.0,12.582781456953644,19.0,151,19.0,16.053760041084132,23635.98,3597.48,20038.5,72,17.95284078149562,99.33774834437087,835.6586985310315,1,151.0,75.5,Observed local supply
Watches Gifts,PE,145,145,3.9034482758620688,17.93103448275862,26.0,10.344827586206897,15.0,145,18.0,17.865191730523627,35432.81,4537.93,30894.88,28,14.688291393266459,100.0,1995.9938950565504,1,145.0,72.5,Observed local supply
Garden Tools,BA,144,142,3.8661971830985915,19.014084507042252,27.0,11.805555555555555,17.0,144,20.0,19.82180217978395,29535.27,5560.76,23974.51,44,23.194467790999692,98.61111111111111,1332.228028648634,1,144.0,72.0,Observed local supply
Watches Gifts,DF,141,139,4.115107913669065,12.23021582733813,17.0,3.546099290780142,5.0,141,13.0,13.185593643288678,35118.33,2826.06,32292.27,32,8.751506165407386,98.58156028368795,809.2891390211494,1,141.0,70.5,Observed local supply
Cool Stuff,BA,133,133,4.075187969924812,15.037593984962406,20.0,8.270676691729323,11.0,133,14.0,19.489826998050685,23917.04,3774.78,20142.260000000002,44,18.740598125533083,100.0,1378.8024045314544,1,133.0,66.5,Observed local supply
Telephony,PE,120,119,4.226890756302521,10.084033613445378,12.0,7.5,9.0,120,9.0,19.480392457561727,13628.48,3068.52,10559.96,34,29.05806461388111,99.16666666666667,1897.9680372934808,1,120.0,60.0,Observed local supply
Toys,BA,112,110,4.045454545454546,13.636363636363635,15.0,14.285714285714285,16.0,112,15.0,20.534990906084655,17323.32,2973.18,14350.14,60,20.71882225539263,98.21428571428571,1381.4023198852003,1,112.0,56.0,Observed local supply
Telephony,ES,103,100,3.94,12.0,12.0,8.737864077669903,9.0,103,11.0,15.061233032182669,10816.82,1843.37,8973.45,34,20.54248923212365,97.0873786407767,753.0393192510704,1,103.0,51.5,Observed local supply
Furniture Decor,GO,99,98,3.8469387755102042,20.408163265306122,20.0,11.11111111111111,11.0,99,15.0,16.418220982977928,14900.380000000001,2868.38,12032.0,44,23.839594414893618,98.98989898989899,789.6014185546179,1,99.0,49.5,Observed local supply
Electronics,BA,97,97,4.123711340206185,14.432989690721648,14.0,10.309278350515463,10.0,97,6.0,18.28266716781214,8583.4,2401.27,6182.13,29,38.842114287470494,100.0,1383.0087408452341,1,97.0,48.5,Observed local supply
Baby,BA,92,91,3.791208791208791,21.978021978021978,20.0,11.956521739130435,11.0,92,15.0,20.23315670289855,17968.98,2897.35,15071.630000000001,42,19.22386629714238,98.91304347826087,1364.9511373548667,1,92.0,46.0,Observed local supply
Health Beauty,MT,83,83,4.0843373493975905,13.253012048192772,11.0,6.024096385542169,5.0,83,9.0,18.507881247211067,17743.33,2501.53,15241.8,55,16.412300384469027,100.0,1333.5212708775807,1,83.0,41.5,Observed local supply
Health Beauty,MA,82,81,3.876543209876543,18.51851851851852,15.0,24.390243902439025,20.0,82,11.0,19.82541821928636,15461.6,2793.32,12668.279999999999,41,22.049717878038695,98.78048780487805,1782.9558671128293,1,82.0,41.0,Observed local supply
Home Appliances,RJ,79,79,4.1265822784810124,11.39240506329114,9.0,5.063291139240507,4.0,79,9.0,14.961586234177215,10377.390000000001,1582.23,8795.16,13,17.98978074304504,100.0,416.51928410252697,1,79.0,39.5,Observed local supply
Toys,GO,74,74,4.1891891891891895,13.513513513513514,10.0,2.7027027027027026,2.0,74,8.0,15.078403403403403,9411.12,1602.05,7809.07,40,20.51524701404905,100.0,808.3718806166074,1,74.0,37.0,Observed local supply
Cool Stuff,PE,73,72,4.166666666666667,12.5,9.0,8.21917808219178,6.0,73,7.0,18.68158200152207,17059.16,2813.64,14245.52,31,19.75105155866546,98.63013698630137,2009.696016451721,1,73.0,36.5,Observed local supply
Electronics,ES,72,71,4.126760563380282,12.676056338028168,9.0,11.11111111111111,8.0,72,9.0,15.284494759516459,4846.4,1560.26,3286.14,22,47.4800221536514,98.61111111111111,892.2238013449037,1,72.0,36.0,Observed local supply
Sports Leisure,PA,72,70,4.014285714285714,17.142857142857142,12.0,15.277777777777779,11.0,72,8.0,25.215558288323045,15186.41,2887.76,12298.65,48,23.480300683408345,97.22222222222223,2183.5992948702615,1,72.0,36.0,Observed local supply
Furniture Decor,PE,71,70,3.742857142857143,25.71428571428571,18.0,8.450704225352112,6.0,71,15.0,19.39602650625978,11773.9,2754.52,9019.38,35,30.540014945594933,98.59154929577464,2124.144932747912,1,71.0,35.5,Observed local supply
Bed Bath Table,CE,67,67,4.0,16.417910447761194,11.0,16.417910447761194,11.0,67,9.0,21.414532545605308,9312.74,2511.95,6800.79,29,36.93615006491893,100.0,2205.8593647197763,1,67.0,33.5,Observed local supply
Perfumery,ES,60,60,3.9,18.333333333333332,11.0,10.0,6.0,60,9.0,14.155060956790123,7731.13,1153.58,6577.55,22,17.538141101169888,100.0,704.9198066678055,1,60.0,30.0,Observed local supply
Home Construction,MG,58,57,4.052631578947368,15.789473684210526,9.0,5.172413793103448,3.0,58,5.0,12.807828264687101,9984.48,1601.08,8383.4,22,19.09821790681585,98.27586206896552,531.1035613813277,1,58.0,29.0,Observed local supply
Health Beauty,MS,57,57,4.052631578947368,15.789473684210526,9.0,14.035087719298245,8.0,57,9.0,15.794627192982457,12739.15,1507.57,11231.58,34,13.422599491790113,100.0,966.609487690834,1,57.0,28.5,Observed local supply
Health Beauty,RN,56,56,4.464285714285714,1.7857142857142856,1.0,5.357142857142857,3.0,56,1.0,17.33345424107143,16022.37,2293.39,13728.98,31,16.704736987015785,100.0,2159.8563452542166,1,56.0,28.0,Observed local supply
Toys,PE,54,54,4.277777777777778,9.25925925925926,5.0,9.25925925925926,5.0,54,3.0,16.866824845679012,10340.24,1928.84,8411.4,32,22.9312599567254,100.0,2042.6400299073216,1,54.0,27.0,Observed local supply
Housewares,PE,53,53,4.3584905660377355,7.547169811320755,4.0,0.0,0.0,53,4.0,15.825665400069882,7084.89,1983.17,5101.72,31,38.87257630759822,100.0,2058.7502207499397,1,53.0,26.5,Observed local supply
Pet Shop,BA,53,52,4.115384615384615,13.461538461538462,7.0,7.547169811320755,4.0,53,5.0,16.1106911687631,7034.39,1378.72,5655.67,27,24.377659941262486,98.11320754716981,1235.0287741340674,1,53.0,26.5,Observed local supply
